
2021-01-16T05:10:36.631577,0,centralhub,on,1
2021-01-16T05:10:43.264348,2,oximeter,processed,1
2021-01-16T05:10:43.264566,2,oximeter,detected,1
2021-01-16T05:10:43.464331,2,ecg,processed,1
2021-01-16T05:10:43.464549,2,ecg,detected,1
2021-01-16T05:10:43.664346,2,thermometer,processed,1
2021-01-16T05:10:43.664476,2,thermometer,detected,1
2021-01-16T05:10:44.264721,3,oximeter,processed,1
2021-01-16T05:10:44.264966,3,oximeter,detected,1
2021-01-16T05:10:44.464732,3,ecg,processed,1
2021-01-16T05:10:44.464920,3,ecg,detected,1
2021-01-16T05:10:44.664789,3,thermometer,processed,1
2021-01-16T05:10:44.665019,3,thermometer,detected,1
2021-01-16T05:10:45.264965,4,oximeter,processed,1
2021-01-16T05:10:45.265045,4,oximeter,detected,1
2021-01-16T05:10:45.465057,4,ecg,processed,1
2021-01-16T05:10:45.465189,4,ecg,detected,1
2021-01-16T05:10:45.665198,4,thermometer,processed,1
2021-01-16T05:10:45.665435,4,thermometer,detected,1
2021-01-16T05:10:46.265428,5,oximeter,processed,1
2021-01-16T05:10:46.265591,5,oximeter,detected,1
2021-01-16T05:10:46.465521,5,ecg,processed,1
2021-01-16T05:10:46.465727,5,ecg,detected,1
2021-01-16T05:10:46.665594,5,thermometer,processed,1
2021-01-16T05:10:46.665805,5,thermometer,detected,1
2021-01-16T05:10:47.265860,6,oximeter,processed,1
2021-01-16T05:10:47.266050,6,oximeter,detected,1
2021-01-16T05:10:47.465897,6,ecg,processed,1
2021-01-16T05:10:47.466107,6,ecg,detected,1
2021-01-16T05:10:47.665975,6,thermometer,processed,1
2021-01-16T05:10:47.666177,6,thermometer,detected,1
2021-01-16T05:10:48.266208,7,oximeter,processed,1
2021-01-16T05:10:48.266381,7,oximeter,detected,1
2021-01-16T05:10:48.466323,7,ecg,processed,1
2021-01-16T05:10:48.466539,7,ecg,detected,1
2021-01-16T05:10:48.666448,7,thermometer,processed,1
2021-01-16T05:10:48.666665,7,thermometer,detected,1
2021-01-16T05:10:49.266735,8,oximeter,processed,1
2021-01-16T05:10:49.466812,8,ecg,processed,1
2021-01-16T05:10:49.467027,8,ecg,detected,1
2021-01-16T05:10:49.666919,8,thermometer,processed,1
2021-01-16T05:10:49.667139,8,thermometer,detected,1
2021-01-16T05:10:50.267213,9,ecg,processed,1
2021-01-16T05:10:50.267295,9,ecg,detected,1
2021-01-16T05:10:50.667374,9,thermometer,processed,1
2021-01-16T05:10:50.867425,9,thermometer,processed,1
2021-01-16T05:10:50.867517,9,thermometer,detected,1
2021-01-16T05:10:51.267760,10,ecg,processed,1
2021-01-16T05:10:51.267890,10,ecg,detected,1
2021-01-16T05:10:51.667889,10,thermometer,processed,1
2021-01-16T05:10:51.668132,10,thermometer,detected,1
2021-01-16T05:10:52.268072,11,ecg,processed,1
2021-01-16T05:10:52.268210,11,ecg,detected,1
2021-01-16T05:10:52.668215,11,thermometer,processed,1
2021-01-16T05:10:52.668404,11,thermometer,detected,1
2021-01-16T05:10:53.268404,12,ecg,processed,1
2021-01-16T05:10:53.268521,12,ecg,detected,1
2021-01-16T05:10:53.668660,12,thermometer,processed,1
2021-01-16T05:10:53.668898,12,thermometer,detected,1
2021-01-16T05:10:54.268857,13,ecg,processed,1
2021-01-16T05:10:54.268999,13,ecg,detected,1
2021-01-16T05:10:54.668999,13,thermometer,processed,1
2021-01-16T05:10:54.669242,13,thermometer,detected,1
2021-01-16T05:10:55.269245,14,ecg,processed,1
2021-01-16T05:10:55.269419,14,ecg,detected,1
2021-01-16T05:10:55.669395,14,thermometer,processed,1
2021-01-16T05:10:55.669583,14,thermometer,detected,1
2021-01-16T05:10:56.269615,15,ecg,processed,1
2021-01-16T05:10:56.269730,15,ecg,detected,1
2021-01-16T05:10:56.669777,15,thermometer,processed,1
2021-01-16T05:10:56.669992,15,thermometer,detected,1
2021-01-16T05:10:57.270014,16,ecg,processed,1
2021-01-16T05:10:57.270142,16,ecg,detected,1
2021-01-16T05:10:57.670093,16,thermometer,processed,1
2021-01-16T05:10:57.670191,16,thermometer,detected,1
2021-01-16T05:10:58.270302,17,ecg,processed,1
2021-01-16T05:10:58.270400,17,ecg,detected,1
2021-01-16T05:10:58.670417,17,thermometer,processed,1
2021-01-16T05:10:58.670512,17,thermometer,detected,1
2021-01-16T05:10:59.270727,18,ecg,processed,1
2021-01-16T05:10:59.270860,18,ecg,detected,1
2021-01-16T05:10:59.670874,18,thermometer,processed,1
2021-01-16T05:10:59.671062,18,thermometer,detected,1
2021-01-16T05:11:00.271132,19,ecg,processed,1
2021-01-16T05:11:00.271284,19,ecg,detected,1
2021-01-16T05:11:00.671264,19,thermometer,processed,1
2021-01-16T05:11:00.671477,19,thermometer,detected,1
2021-01-16T05:11:01.271430,20,ecg,processed,1
2021-01-16T05:11:01.271519,20,ecg,detected,1
2021-01-16T05:11:01.671641,20,thermometer,processed,1
2021-01-16T05:11:01.671860,20,thermometer,detected,1
2021-01-16T05:11:02.271850,21,ecg,processed,1
2021-01-16T05:11:02.471953,21,ecg,detected,1
2021-01-16T05:11:02.671948,21,thermometer,processed,1
